screen_id,class,category,image_path,xml_path
492,Chat,chat,data/data-masc/screenshots/chat/492.jpg,data/data-masc/xml/chat/492.xml
908,Chat,chat,data/data-masc/screenshots/chat/908.jpg,data/data-masc/xml/chat/908.xml
1054,Chat,chat,data/data-masc/screenshots/chat/1054.jpg,data/data-masc/xml/chat/1054.xml
1584,Chat,chat,data/data-masc/screenshots/chat/1584.jpg,data/data-masc/xml/chat/1584.xml
1749,Chat,chat,data/data-masc/screenshots/chat/1749.jpg,data/data-masc/xml/chat/1749.xml
1967,Chat,chat,data/data-masc/screenshots/chat/1967.jpg,data/data-masc/xml/chat/1967.xml
2242,Chat,chat,data/data-masc/screenshots/chat/2242.jpg,data/data-masc/xml/chat/2242.xml
2322,Chat,chat,data/data-masc/screenshots/chat/2322.jpg,data/data-masc/xml/chat/2322.xml
2796,Chat,chat,data/data-masc/screenshots/chat/2796.jpg,data/data-masc/xml/chat/2796.xml
2799,Chat,chat,data/data-masc/screenshots/chat/2799.jpg,data/data-masc/xml/chat/2799.xml
2800,Chat,chat,data/data-masc/screenshots/chat/2800.jpg,data/data-masc/xml/chat/2800.xml
3003,Chat,chat,data/data-masc/screenshots/chat/3003.jpg,data/data-masc/xml/chat/3003.xml
3004,Chat,chat,data/data-masc/screenshots/chat/3004.jpg,data/data-masc/xml/chat/3004.xml
3206,Chat,chat,data/data-masc/screenshots/chat/3206.jpg,data/data-masc/xml/chat/3206.xml
3423,Chat,chat,data/data-masc/screenshots/chat/3423.jpg,data/data-masc/xml/chat/3423.xml
3429,Chat,chat,data/data-masc/screenshots/chat/3429.jpg,data/data-masc/xml/chat/3429.xml
3436,Chat,chat,data/data-masc/screenshots/chat/3436.jpg,data/data-masc/xml/chat/3436.xml
3522,Chat,chat,data/data-masc/screenshots/chat/3522.jpg,data/data-masc/xml/chat/3522.xml
3723,Chat,chat,data/data-masc/screenshots/chat/3723.jpg,data/data-masc/xml/chat/3723.xml
4115,Chat,chat,data/data-masc/screenshots/chat/4115.jpg,data/data-masc/xml/chat/4115.xml
5205,Chat,chat,data/data-masc/screenshots/chat/5205.jpg,data/data-masc/xml/chat/5205.xml
5377,Chat,chat,data/data-masc/screenshots/chat/5377.jpg,data/data-masc/xml/chat/5377.xml
5860,Chat,chat,data/data-masc/screenshots/chat/5860.jpg,data/data-masc/xml/chat/5860.xml
5976,Chat,chat,data/data-masc/screenshots/chat/5976.jpg,data/data-masc/xml/chat/5976.xml
5983,Chat,chat,data/data-masc/screenshots/chat/5983.jpg,data/data-masc/xml/chat/5983.xml
6190,Chat,chat,data/data-masc/screenshots/chat/6190.jpg,data/data-masc/xml/chat/6190.xml
7437,Chat,chat,data/data-masc/screenshots/chat/7437.jpg,data/data-masc/xml/chat/7437.xml
8086,Chat,chat,data/data-masc/screenshots/chat/8086.jpg,data/data-masc/xml/chat/8086.xml
8093,Chat,chat,data/data-masc/screenshots/chat/8093.jpg,data/data-masc/xml/chat/8093.xml
9282,Chat,chat,data/data-masc/screenshots/chat/9282.jpg,data/data-masc/xml/chat/9282.xml
9646,Chat,chat,data/data-masc/screenshots/chat/9646.jpg,data/data-masc/xml/chat/9646.xml
10560,Chat,chat,data/data-masc/screenshots/chat/10560.jpg,data/data-masc/xml/chat/10560.xml
11382,Chat,chat,data/data-masc/screenshots/chat/11382.jpg,data/data-masc/xml/chat/11382.xml
11390,Chat,chat,data/data-masc/screenshots/chat/11390.jpg,data/data-masc/xml/chat/11390.xml
11396,Chat,chat,data/data-masc/screenshots/chat/11396.jpg,data/data-masc/xml/chat/11396.xml
11728,Chat,chat,data/data-masc/screenshots/chat/11728.jpg,data/data-masc/xml/chat/11728.xml
11729,Chat,chat,data/data-masc/screenshots/chat/11729.jpg,data/data-masc/xml/chat/11729.xml
13416,Chat,chat,data/data-masc/screenshots/chat/13416.jpg,data/data-masc/xml/chat/13416.xml
14305,Chat,chat,data/data-masc/screenshots/chat/14305.jpg,data/data-masc/xml/chat/14305.xml
14551,Chat,chat,data/data-masc/screenshots/chat/14551.jpg,data/data-masc/xml/chat/14551.xml
15178,Chat,chat,data/data-masc/screenshots/chat/15178.jpg,data/data-masc/xml/chat/15178.xml
15179,Chat,chat,data/data-masc/screenshots/chat/15179.jpg,data/data-masc/xml/chat/15179.xml
15180,Chat,chat,data/data-masc/screenshots/chat/15180.jpg,data/data-masc/xml/chat/15180.xml
15595,Chat,chat,data/data-masc/screenshots/chat/15595.jpg,data/data-masc/xml/chat/15595.xml
16077,Chat,chat,data/data-masc/screenshots/chat/16077.jpg,data/data-masc/xml/chat/16077.xml
16080,Chat,chat,data/data-masc/screenshots/chat/16080.jpg,data/data-masc/xml/chat/16080.xml
16081,Chat,chat,data/data-masc/screenshots/chat/16081.jpg,data/data-masc/xml/chat/16081.xml
16085,Chat,chat,data/data-masc/screenshots/chat/16085.jpg,data/data-masc/xml/chat/16085.xml
17123,Chat,chat,data/data-masc/screenshots/chat/17123.jpg,data/data-masc/xml/chat/17123.xml
17125,Chat,chat,data/data-masc/screenshots/chat/17125.jpg,data/data-masc/xml/chat/17125.xml
17127,Chat,chat,data/data-masc/screenshots/chat/17127.jpg,data/data-masc/xml/chat/17127.xml
17131,Chat,chat,data/data-masc/screenshots/chat/17131.jpg,data/data-masc/xml/chat/17131.xml
18113,Chat,chat,data/data-masc/screenshots/chat/18113.jpg,data/data-masc/xml/chat/18113.xml
18483,Chat,chat,data/data-masc/screenshots/chat/18483.jpg,data/data-masc/xml/chat/18483.xml
19619,Chat,chat,data/data-masc/screenshots/chat/19619.jpg,data/data-masc/xml/chat/19619.xml
19650,Chat,chat,data/data-masc/screenshots/chat/19650.jpg,data/data-masc/xml/chat/19650.xml
19662,Chat,chat,data/data-masc/screenshots/chat/19662.jpg,data/data-masc/xml/chat/19662.xml
19671,Chat,chat,data/data-masc/screenshots/chat/19671.jpg,data/data-masc/xml/chat/19671.xml
19724,Chat,chat,data/data-masc/screenshots/chat/19724.jpg,data/data-masc/xml/chat/19724.xml
19794,Chat,chat,data/data-masc/screenshots/chat/19794.jpg,data/data-masc/xml/chat/19794.xml
19797,Chat,chat,data/data-masc/screenshots/chat/19797.jpg,data/data-masc/xml/chat/19797.xml
19922,Chat,chat,data/data-masc/screenshots/chat/19922.jpg,data/data-masc/xml/chat/19922.xml
19930,Chat,chat,data/data-masc/screenshots/chat/19930.jpg,data/data-masc/xml/chat/19930.xml
20164,Chat,chat,data/data-masc/screenshots/chat/20164.jpg,data/data-masc/xml/chat/20164.xml
21070,Chat,chat,data/data-masc/screenshots/chat/21070.jpg,data/data-masc/xml/chat/21070.xml
22313,Chat,chat,data/data-masc/screenshots/chat/22313.jpg,data/data-masc/xml/chat/22313.xml
23084,Chat,chat,data/data-masc/screenshots/chat/23084.jpg,data/data-masc/xml/chat/23084.xml
23218,Chat,chat,data/data-masc/screenshots/chat/23218.jpg,data/data-masc/xml/chat/23218.xml
23650,Chat,chat,data/data-masc/screenshots/chat/23650.jpg,data/data-masc/xml/chat/23650.xml
24130,Chat,chat,data/data-masc/screenshots/chat/24130.jpg,data/data-masc/xml/chat/24130.xml
25230,Chat,chat,data/data-masc/screenshots/chat/25230.jpg,data/data-masc/xml/chat/25230.xml
25328,Chat,chat,data/data-masc/screenshots/chat/25328.jpg,data/data-masc/xml/chat/25328.xml
25485,Chat,chat,data/data-masc/screenshots/chat/25485.jpg,data/data-masc/xml/chat/25485.xml
26580,Chat,chat,data/data-masc/screenshots/chat/26580.jpg,data/data-masc/xml/chat/26580.xml
26657,Chat,chat,data/data-masc/screenshots/chat/26657.jpg,data/data-masc/xml/chat/26657.xml
26692,Chat,chat,data/data-masc/screenshots/chat/26692.jpg,data/data-masc/xml/chat/26692.xml
26711,Chat,chat,data/data-masc/screenshots/chat/26711.jpg,data/data-masc/xml/chat/26711.xml
26876,Chat,chat,data/data-masc/screenshots/chat/26876.jpg,data/data-masc/xml/chat/26876.xml
27362,Chat,chat,data/data-masc/screenshots/chat/27362.jpg,data/data-masc/xml/chat/27362.xml
27376,Chat,chat,data/data-masc/screenshots/chat/27376.jpg,data/data-masc/xml/chat/27376.xml
27877,Chat,chat,data/data-masc/screenshots/chat/27877.jpg,data/data-masc/xml/chat/27877.xml
29704,Chat,chat,data/data-masc/screenshots/chat/29704.jpg,data/data-masc/xml/chat/29704.xml
29760,Chat,chat,data/data-masc/screenshots/chat/29760.jpg,data/data-masc/xml/chat/29760.xml
29761,Chat,chat,data/data-masc/screenshots/chat/29761.jpg,data/data-masc/xml/chat/29761.xml
